startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate
"Abbey Orchard Street, Westminster",6763,18.47814207650273,0.5409599422591123,0.148141465175027,BikePoints_864,51.498125,-0.132102,29.0,0.4503816793893129,10,0.6371773129828529
"Abbotsbury Road, Holland Park",3907,10.674863387978142,0.3952713952713952,0.316017316017316,BikePoints_559,51.501391,-0.205991,24.0,0.2519083969465648,5,0.4447859744990892
"Aberdeen Place, St. John's Wood",7476,20.42622950819672,0.4522052795540252,0.2733234956550254,BikePoints_394,51.524826,-0.176268,18.0,0.1793893129770992,5,1.1347905282331512
"Aberfeldy Street, Poplar",3514,9.601092896174864,0.5676449534717252,0.2863278453829635,BikePoints_554,51.513548,-0.005659,16.0,0.1946564885496183,0,0.600068306010929
"Abingdon Green, Westminster",11877,32.450819672131146,0.4703470031545741,0.2271293375394321,BikePoints_583,51.49764,-0.125972,20.0,0.2366412213740458,6,1.6225409836065574
"Abingdon Villas, Kensington",6739,18.41256830601093,0.4815610454708199,0.2425707124955245,BikePoints_38,51.497387,-0.197245,17.0,0.1755725190839694,7,1.0830922532947604
"Ackroyd Drive, Bow",13406,36.62841530054645,0.5483989356821727,0.2313056243692081,BikePoints_505,51.520398,-0.026768,29.0,0.1717557251908397,5,1.263048803467119
"Ada Street, Hackney Central",9702,26.508196721311474,0.5233609645817634,0.2538306958050741,BikePoints_718,51.535716,-0.060291,45.0,0.1870229007633587,4,0.5890710382513661
"Addison Road, Holland Park",5205,14.221311475409836,0.5143893043281215,0.218672105143893,BikePoints_606,51.504199,-0.210941,26.0,0.2061068702290076,6,0.5469735182849937
"Aintree Street, Fulham",10286,28.103825136612024,0.5834740651387214,0.2360675512665862,BikePoints_616,51.481021,-0.209973,24.0,0.2099236641221374,2,1.170992714025501
"Albany Street, The Regent's Park",12088,33.02732240437158,0.4671390429246251,0.2754158964879852,BikePoints_540,51.528302,-0.144466,27.0,0.1679389312977099,1,1.223234163124873
"Albert Bridge Road, Battersea Park",12156,33.21311475409836,0.5290615539858728,0.2789101917255298,BikePoints_710,51.474392,-0.163347,20.0,0.1755725190839694,5,1.6606557377049185
"Albert Embankment, Vauxhall",6316,17.256830601092897,0.4936524453694069,0.2093652445369407,BikePoints_869,51.490435,-0.122806,24.0,0.4312977099236641,6,0.7190346083788707
"Albert Gardens, Stepney",9837,26.87704918032787,0.443236409608091,0.2771175726927939,BikePoints_483,51.51328,-0.047784,33.0,0.1679389312977099,4,0.8144560357675112
"Albert Gate, Hyde Park",40740,111.31147540983606,0.3437398585058739,0.3659375608489648,BikePoints_303,51.502953,-0.158456,34.0,0.2099236641221374,5,3.273866923818708
"Albert Square, Stockwell",11198,30.595628415300546,0.525692582663092,0.2498882931188561,BikePoints_802,51.47659,-0.118256,32.0,0.1679389312977099,3,0.956113387978142
"Albert Street, Camden Town",348,0.9508196721311476,0.3879310344827586,0.2126436781609195,BikePoints_456,51.537706,-0.144801,26.0,0.9198473282442748,7,0.0365699873896595
"Alderney Street, Pimlico",14499,39.614754098360656,0.4415994679524482,0.2810707456978967,BikePoints_185,51.488057,-0.140741,14.0,0.1717557251908397,7,2.829625292740047
"Aldersgate Street, Barbican",19843,54.21584699453552,0.4933349790175265,0.1892742532707973,BikePoints_95,51.520841,-0.09734,15.0,0.1641221374045801,8,3.614389799635701
"Alfreda Street, Battersea Park",9472,25.879781420765028,0.4733712171269988,0.2756706753006475,BikePoints_726,51.47505,-0.150908,22.0,0.1755725190839694,4,1.176353700943865
"All Saints Church, Portobello",14464,39.51912568306011,0.4681120296946178,0.2849670997131769,BikePoints_661,51.51632,-0.202608,37.0,0.1755725190839694,6,1.0680844779205436
"All Saints' Road, Portobello",5994,16.37704918032787,0.4090437668533499,0.313627878033603,BikePoints_643,51.519042,-0.204764,22.0,0.183206106870229,4,0.7444113263785396
"Allington Street, Victoria",24609,67.23770491803279,0.4894318009022251,0.2086775812256069,BikePoints_826,51.496863,-0.142943,28.0,0.1717557251908397,8,2.401346604215457
"Alma Road, Wandsworth",3700,10.109289617486338,0.509929532351057,0.2524023062139654,BikePoints_724,51.457991,-0.184806,28.0,0.2137404580152671,3,0.3610460577673692
