startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate,cuberoot_peak,quantile_early,sqrt_spatial,cuberoot_turnover,orig_weekend,boxcox_trips,quantile_peak,has_early_peak,log_trips,arcsine_early,log_turnover,log_spatial,avg_daily_trips_t,turnover_rate_t,early_zero_t,spatial_density_t,early_normalized,orig_early,scaled_log_trips,scaled_log_turnover,scaled_log_spatial,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_avg_daily_trips_t,scaled_turnover_rate_t,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_spatial_density_t,cluster
"Abbey Orchard Street, Westminster",6763,18.47814207650273,0.5409599422591123,0.148141465175027,BikePoints_864,51.498125,-0.132102,29.0,0.4503816793893129,10,0.6371773129828529,0.814807533438812,1.5562554724403217,3.1622776601683795,0.8605050724268822,0.148141465175027,-0.6134055064049241,0.8891687657430732,1,2.9692929177162624,0.7356980402858001,0.4929736083344141,2.3978952727983707,2.9692929177162624,0.4929736083344141,0.7356980402858001,2.3978952727983707,1.5568889418561798,0.4503816793893129,-0.5631067553163747,-0.8401233739428577,1.019897176896191,1.5787292747243558,1.1119233265520052,-1.5188613385794945,-0.5631067553163747,-0.8401233739428577,1.5787292747243558,1.1119233265520052,-1.5188613385794945,1.019897176896191,2
"Abbotsbury Road, Holland Park",3907,10.674863387978142,0.3952713952713952,0.316017316017316,BikePoints_559,51.501391,-0.205991,24.0,0.2519083969465648,5,0.4447859744990892,0.7338913950533019,0.9030511650860112,2.23606797749979,0.7633382554781651,0.316017316017316,-1.4076752981491805,0.08942065491183879,1,2.4574381022426586,0.5257996131877536,0.3679611960608524,1.791759469228055,2.4574381022426586,0.3679611960608524,0.5257996131877536,1.791759469228055,0.9015506855867632,0.2519083969465648,-1.487797056732767,-1.2588497776063277,-0.12353540830570439,0.911252002652871,-1.1923557155803297,1.2421730194510014,-1.487797056732767,-1.2588497776063277,0.911252002652871,-1.1923557155803297,1.2421730194510014,-0.12353540830570439,1
"Aberdeen Place, St. John's Wood",7476,20.42622950819672,0.4522052795540252,0.2733234956550254,BikePoints_394,51.524826,-0.176268,18.0,0.1793893129770992,5,1.1347905282331512,0.7675591905057014,-0.27820314186219997,2.23606797749979,1.0430502561569261,0.2733234956550254,-0.4532913754217913,0.38287153652392947,1,3.0646158494509104,0.4373537260007616,0.7583685286274273,1.791759469228055,3.0646158494509104,0.7583685286274273,0.4373537260007616,1.791759469228055,-0.27784404929639184,0.1793893129770992,-0.39090130210392676,0.048811240658996335,-0.12353540830570439,-0.2899889943501274,-0.29186244378791837,0.5399927814690189,-0.39090130210392676,0.048811240658996335,-0.2899889943501274,-0.29186244378791837,0.5399927814690189,-0.12353540830570439,0
"Aberfeldy Street, Poplar",3514,9.601092896174864,0.5676449534717252,0.2863278453829635,BikePoints_554,51.513548,-0.005659,16.0,0.1946564885496183,0,0.600068306010929,0.8279909572318905,0.2749231060335918,0.0,0.8434646704877286,0.2863278453829635,-1.5462979542355173,0.9445843828715365,1,2.3609570992159528,0.45693421625234326,0.47004631959132037,0.0,2.3609570992159528,0.47004631959132037,0.45693421625234326,0.0,0.27293177522326845,0.1946564885496183,-1.6620946213403647,-0.9169178376809191,-3.503563695517321,0.27098900648577817,1.5339860991423204,0.7538737906941818,-1.6620946213403647,-0.9169178376809191,0.27098900648577817,1.5339860991423204,0.7538737906941818,-3.503563695517321,1
"Abingdon Green, Westminster",11877,32.450819672131146,0.4703470031545741,0.2271293375394321,BikePoints_583,51.49764,-0.125972,20.0,0.2366412213740458,6,1.6225409836065574,0.7776893061119134,0.8273116303683502,2.449489742783178,1.175074021860111,0.2271293375394321,0.353632012996214,0.4937027707808564,1,3.510076290672549,0.5080309579923732,0.9641436888522127,1.9459101490553132,3.510076290672549,0.9641436888522127,0.5080309579923732,1.9459101490553132,0.825998343562598,0.2366412213740458,0.4138443742285025,0.7380507428585791,0.16725901318743908,0.8343001832367778,-0.004924353284298101,-0.2197570995145616,0.4138443742285025,0.7380507428585791,0.8343001832367778,-0.004924353284298101,-0.2197570995145616,0.16725901318743908,2
"Abingdon Villas, Kensington",6739,18.41256830601093,0.4815610454708199,0.2425707124955245,BikePoints_38,51.497387,-0.197245,17.0,0.1755725190839694,7,1.0830922532947604,0.7838213995319451,-0.5088872830965829,2.6457513110645907,1.0269638347117542,0.2425707124955245,-0.6189944474691845,0.5642317380352645,1,2.965920707129835,0.43235884027381555,0.7338534499657927,2.0794415416798357,2.965920707129835,0.7338534499657927,0.43235884027381555,2.0794415416798357,-0.5081890708286068,0.1755725190839694,-0.5691988156610996,-0.03330149148355628,0.4191565988025986,-0.5246007618407192,0.17244224979596254,0.03420537677427316,-0.5691988156610996,-0.03330149148355628,-0.5246007618407192,0.17244224979596254,0.03420537677427316,0.4191565988025986,0
"Ackroyd Drive, Bow",13406,36.62841530054645,0.5483989356821727,0.2313056243692081,BikePoints_505,51.520398,-0.026768,29.0,0.1717557251908397,5,1.263048803467119,0.8185254760583041,-0.8818947005451624,2.23606797749979,1.0809527496430553,0.2313056243692081,0.584356990636275,0.906801007556675,1,3.627759491057048,0.4273210360919361,0.8167129322461343,1.791759469228055,3.627759491057048,0.8167129322461343,0.4273210360919361,1.791759469228055,-0.8781280840352094,0.1717557251908397,0.6264447264094231,0.24423457388522643,-0.12353540830570439,-0.9013922599803399,1.2295819688663088,-0.15107020161860113,0.6264447264094231,0.24423457388522643,-0.9013922599803399,1.2295819688663088,-0.15107020161860113,-0.12353540830570439,0
"Ada Street, Hackney Central",9702,26.508196721311474,0.5233609645817634,0.2538306958050741,BikePoints_718,51.535716,-0.060291,45.0,0.1870229007633587,4,0.5890710382513661,0.8058739346114566,0.04105204102770928,2.0,0.8382802296676997,0.2538306958050741,-0.013113364201677488,0.8198992443324937,1,3.3144840228538404,0.4472209212554022,0.4631495928179433,1.6094379124341003,3.3144840228538404,0.4631495928179433,0.4472209212554022,1.6094379124341003,0.04100037427737125,0.1870229007633587,0.06049755083943087,-0.940018276640103,-0.46747220892857283,0.034761474627113625,0.8335695625578542,0.21939699684667513,0.06049755083943087,-0.940018276640103,0.034761474627113625,0.8335695625578542,0.21939699684667513,-0.46747220892857283,1
"Addison Road, Holland Park",5205,14.221311475409836,0.5143893043281215,0.218672105143893,BikePoints_606,51.504199,-0.210941,26.0,0.2061068702290076,6,0.5469735182849937,0.8012424985850977,0.49635019858128565,2.449489742783178,0.8178156808604363,0.218672105143893,-1.0091553544481242,0.7770780856423174,1,2.7226965166194494,0.471238275523754,0.4363004533351648,1.9459101490553132,2.7226965166194494,0.4363004533351648,0.471238275523754,1.9459101490553132,0.4956720835795967,0.2061068702290076,-1.008594994491041,-1.0299488956292089,0.16725901318743908,0.497855196548276,0.6916695359391405,-0.3588522052178165,-1.008594994491041,-1.0299488956292089,0.497855196548276,0.6916695359391405,-0.3588522052178165,0.16725901318743908,1
"Aintree Street, Fulham",10286,28.103825136612024,0.5834740651387214,0.2360675512665862,BikePoints_616,51.481021,-0.209973,24.0,0.2099236641221374,2,1.170992714025501,0.835616843802618,0.5561831713794523,1.4142135623730951,1.054026178954558,0.2360675512665862,0.09053654835869682,0.9584382871536523,1,3.3708696135324567,0.475940104056669,0.7751845348451529,1.0986122886681096,3.3708696135324567,0.7751845348451529,0.475940104056669,1.0986122886681096,0.557247279730606,0.2099236641221374,0.16236082781555594,0.10513609416332254,-1.4311088397456777,0.5605709674665017,1.7843468242918885,-0.0727513504668516,0.16236082781555594,0.10513609416332254,0.5605709674665017,1.7843468242918885,-0.0727513504668516,-1.4311088397456777,0
